gene_id,ig_rank,saliency_rank,gbp_rank,gs_rank
ENSG00000151474.18,584.5718632,15.2693669,15.2693669,65.25437773
ENSG00000181666.16,699.7222363,15.26722172,15.26722172,54.71767502
ENSG00000151364.14,659.4642011,15.26366348,15.26366348,153.92709
ENSG00000213585.9,819.5264851,15.26267421,15.26267421,48.09292257
ENSG00000170323.7,770.6117884,15.26124072,15.26124072,311.9731347
ENSG00000140391.13,860.1166707,15.26000809,15.26000809,58.92440781
ENSG00000006210.6,741.058464,15.25673936,15.25673936,106.5149227
ENSG00000189433.5,378.0358732,15.25253093,15.25253093,256.1418758
ENSG00000073712.12,652.5609927,15.25238631,15.25238631,70.79537104
ENSG00000129810.13,417.9236195,15.25174415,15.25174415,104.9292728
